Date,Motor Gasoline Price ($/gallon) Real
01-02-2023,3.53
01-03-2023,3.56
01-04-2023,3.73
01-05-2023,3.68
01-06-2023,3.69
01-07-2023,3.71
01-08-2023,3.94
01-09-2023,3.92
01-10-2023,3.69
01-11-2023,3.38
01-12-2023,3.19
01-01-2024,3.12
01-02-2024,3.24
01-03-2024,3.44
01-04-2024,3.62
01-05-2024,3.61
01-06-2024,3.47
01-07-2024,3.49
01-08-2024,3.49
